Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,Gender,Ages
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,0.97,male, age 35-39
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,0.77,male, age 35-39
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,0.75,male, age 35-39
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,0.8,male, age 35-39
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,1.51,female, age 35-39
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,1.28,female, age 35-39
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,0.97,female, age 35-39
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,1.15,female, age 35-39
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,1.07,female, age 35-39
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,0.83,female, age 35-39
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,0.6,female, age 35-39
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,0.48,female, age 35-39
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE,0.34,female, age 35-39
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,1.37,male, age 40-44
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,1.07,male, age 40-44
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,0.95,male, age 40-44
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,1.05,male, age 40-44
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,0.94,male, age 40-44
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,0.77,male, age 40-44
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,0.59,male, age 40-44
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,0.64,male, age 40-44
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044,0.81,male, age 40-44
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,1.51,female, age 40-44
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,1.13,female, age 40-44
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,1.0,female, age 40-44
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,1.02,female, age 40-44
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,0.84,female, age 40-44
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,0.64,female, age 40-44
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,0.47,female, age 40-44
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,0.38,female, age 40-44
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE,0.34,female, age 40-44
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,1.17,male, age 45-49
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,1.06,male, age 45-49
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,0.94,male, age 45-49
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,0.9,male, age 45-49
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,0.76,male, age 45-49
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,0.6,male, age 45-49
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,0.5,male, age 45-49
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,0.62,male, age 45-49
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549,0.7,male, age 45-49
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,1.23,female, age 45-49
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,1.12,female, age 45-49
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,0.96,female, age 45-49
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,0.84,female, age 45-49
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,0.68,female, age 45-49
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,0.51,female, age 45-49
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,0.4,female, age 45-49
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,0.34,female, age 45-49
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE,0.26,female, age 45-49
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",BAR.TER.SCHL.5054,1.17,male, age 50-54
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",BAR.TER.SCHL.5054,1.03,male, age 50-54
